,Date,Time,Open,High,Low,Close,Volume
454,2020-04-13,09:25:00,151.74,151.85,151.73,151.83,377.51214
455,2020-04-13,09:26:00,151.82,152.05,151.82,151.89,602.22277
456,2020-04-13,09:27:00,151.89,151.95,151.75,151.79,588.24761
457,2020-04-13,09:28:00,151.81,151.98,151.81,151.94,221.38057
458,2020-04-13,09:29:00,151.91,151.96,151.86,151.9,210.84836
459,2020-04-13,09:30:00,151.9,151.92,151.7,151.73,267.21887
460,2020-04-13,09:31:00,151.7,151.84,151.65,151.69,195.24409
461,2020-04-13,09:32:00,151.65,151.68,151.51,151.56,339.60136
462,2020-04-13,09:33:00,151.52,151.66,151.51,151.56,195.9098
463,2020-04-13,09:34:00,151.59,151.65,151.41,151.41,389.90159
464,2020-04-13,09:35:00,151.43,151.48,151.34,151.35,446.15058
465,2020-04-13,09:36:00,151.34,151.51,151.32,151.51,372.079
466,2020-04-13,09:37:00,151.51,151.54,151.48,151.52,321.82223
467,2020-04-13,09:38:00,151.53,151.66,151.46,151.48,196.09208
468,2020-04-13,09:39:00,151.45,151.58,151.37,151.38,698.10701
469,2020-04-13,09:40:00,151.38,151.39,151.29,151.35,358.93815
470,2020-04-13,09:41:00,151.33,151.49,151.2,151.22,1093.17696
471,2020-04-13,09:42:00,151.2,151.28,151.04,151.04,845.87103
472,2020-04-13,09:43:00,151.05,151.11,150.55,150.66,2731.42971
473,2020-04-13,09:44:00,150.66,150.98,150.65,150.95,1080.72025
474,2020-04-13,09:45:00,150.95,150.97,150.61,150.79,690.99901
475,2020-04-13,09:46:00,150.78,150.99,150.75,150.97,585.16658
476,2020-04-13,09:47:00,151.0,151.24,150.97,151.13,1186.61863
477,2020-04-13,09:48:00,151.15,151.19,151.02,151.15,380.36399
478,2020-04-13,09:49:00,151.11,151.24,151.11,151.24,113.74486
479,2020-04-13,09:50:00,151.22,151.22,151.14,151.15,255.44299
480,2020-04-13,09:51:00,151.15,151.3,151.12,151.3,524.53034
481,2020-04-13,09:52:00,151.3,151.3,151.12,151.21,392.82241
482,2020-04-13,09:53:00,151.21,151.36,151.19,151.32,246.09957
483,2020-04-13,09:54:00,151.34,151.48,151.34,151.38,273.73559
484,2020-04-13,09:55:00,151.4,151.48,151.34,151.36,287.78317
485,2020-04-13,09:56:00,151.34,151.37,151.27,151.31,405.32854
486,2020-04-13,09:57:00,151.26,151.39,151.19,151.21,369.08297
487,2020-04-13,09:58:00,151.2,151.28,151.17,151.28,143.16409
488,2020-04-13,09:59:00,151.27,151.3,151.25,151.29,260.48539
489,2020-04-13,10:00:00,151.29,151.5,151.28,151.49,337.29236
490,2020-04-13,10:01:00,151.5,151.74,151.47,151.68,591.80362
491,2020-04-13,10:02:00,151.7,151.8,151.66,151.8,491.38479
492,2020-04-13,10:03:00,151.79,151.99,151.79,151.99,726.52838
